FIPS,State,Date
1,Alabama,04.04.2020
2,Alaska,03.28.2020
4,Arizona,03.31.2020
5,Arkansas,NA
6,California,03.19.2020
8,Colorado,03.26.2020
9,Connecticut,03.23.2020
10,Delaware,03.24.2020
11,District of Columbia,04.01.2020
12,Florida,04.03.2020
13,Georgia,04.03.2020
15,Hawaii ,03.25.2020
16,Idaho,03.25.2020
17,Illinois,03.21.2020
18,Indiana,03.24.2020
19,Iowa,NA
20,Kansas,03.30.2020
21,Kentucky,03.26.2020
22,Louisiana,03.23.2020
23,Maine,04.02.2020
24,Maryland,03.30.2020
25,Massachusetts,03.24.2020
26,Michigan,03.24.2020
27,Minnesota,03.27.2020
28,Mississippi,04.03.2020
29,Missouri,04.06.2020
30,Montana,03.28.2020
31,Nebraska,NA
32,Nevada,04.01.2020
33,New Hampshire,03.27.2020
34,New Jersey,03.21.2020
35,New Mexico,03.24.2020
36,New York,03.22.2020
37,North Carolina,03.30.2020
38,North Dakota,NA
39,Ohio,03.23.2020
40,Oklahoma,NA
41,Oregon,03.23.2020
42,Pennsylvania,04.01.2020
44,Rhode Island,03.28.2020
45,South Carolina,NA
46,South Dakota,NA
47,Tennessee,03.31.2020
48,Texas,04.02.2020
49,Utah,NA
50,Vermont,03.24.2020
51,Virginia,03.30.2020
53,Washington,03.23.2020
54,West Virginia,03.24.2020
55,Wisconsin,03.25.2020
56,Wyoming,NA
,,
,,
,,
,,
,,
