City,2020-01-01,2020-01-02,2020-01-03,2020-01-04,2020-01-05,2020-01-06,2020-01-07,2020-01-08,2020-01-09,2020-01-10,2020-01-11,2020-01-12,2020-01-13,2020-01-14,2020-01-15,2020-01-16,2020-01-17,2020-01-18,2020-01-19,2020-01-20,2020-01-21,2020-01-22,2020-01-23,2020-01-24,2020-01-25,2020-01-26,2020-01-27,2020-01-28,2020-01-29,2020-01-30,2020-01-31,2020-02-01,2020-02-02,2020-02-03,2020-02-04,2020-02-05,2020-02-06,2020-02-07,2020-02-08,2020-02-09,2020-02-10,2020-02-11,2020-02-12,2020-02-13,2020-02-14,2020-02-15,2020-02-16,2020-02-17,2020-02-18,2020-02-19,2020-02-20,2020-02-21,2020-02-22,2020-02-23,2020-02-24,2020-02-25,2020-02-26,2020-02-27,2020-02-28,2020-02-29,2020-03-01,2020-03-02,2020-03-03,2020-03-04,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-16,2020-05-17,2020-05-18,2020-05-19,2020-05-20,2020-05-21,2020-05-22,2020-05-23,2020-05-24,2020-05-25,2020-05-26,2020-05-27,2020-05-28
Albuquerque,0.9740000000000001,0.9840000000000001,1.011,1.006,1.089,1.079,1.042,1.08,1.064,1.1,1.072,1.17,1.172,1.168,1.167,1.183,1.183,1.182,1.216,1.202,1.236,1.246,1.2690000000000001,1.3319999999999999,1.307,1.338,1.315,1.3130000000000002,1.321,1.3130000000000002,1.2919999999999998,1.278,1.276,1.251,1.2429999999999999,1.228,1.265,1.237,1.183,1.188,1.177,1.128,1.1740000000000002,1.156,1.155,1.179,1.16,1.178,1.1640000000000001,1.162,1.14,1.08,1.078,1.1179999999999999,1.161,1.13,1.173,1.107,1.105,1.105,1.107,1.162,1.138,1.111,1.112,1.1059999999999999,1.089,1.107,1.077,1.036,1.023,0.977,0.961,0.9740000000000001,0.9390000000000001,0.9540000000000001,0.9079999999999999,0.922,0.9470000000000001,0.941,0.9420000000000001,1.006,0.982,0.982,0.976,1.0090000000000001,1.0659999999999998,1.0979999999999999,1.097,1.133,1.112,1.11,1.16,1.168,1.173,1.16,1.115,1.102,1.089,1.088,1.071,1.02,1.033,1.057,1.0490000000000002,1.047,1.06,1.032,1.05,1.085,1.085,1.093,1.123,1.119,1.113,1.123,1.146,1.119,1.078,1.074,1.038,1.012,0.992,0.976,0.9420000000000001,0.953,0.927,0.887,0.898,0.917,0.9420000000000001,0.948,0.9279999999999999,0.9329999999999999,0.9359999999999999,0.9490000000000001,0.956,0.9329999999999999,0.922,0.927,0.946,0.9540000000000001,0.968,0.958,0.9440000000000001,0.9159999999999999,0.9009999999999999,0.9440000000000001,0.9540000000000001
Atlanta,4.133,4.18,4.187,4.398,4.486000000000001,5.0569999999999995,5.182,5.159,5.0969999999999995,5.06,4.887,5.013999999999999,5.056,5.432,5.4670000000000005,5.478,5.396,5.296,5.117,5.207000000000001,5.181,5.144,5.153,5.3229999999999995,5.388,5.265,5.265,4.977,4.997,5.257000000000001,5.159,5.221,5.3020000000000005,5.309,5.336,5.181,5.047,5.044,4.7330000000000005,4.6160000000000005,4.5,4.398,4.503,4.414,4.007,4.01,4.093,3.885,3.83,3.6069999999999998,3.7439999999999998,4.0680000000000005,4.088,4.022,3.8789999999999996,3.95,3.792,3.6519999999999997,3.6839999999999997,3.687,3.693,3.4339999999999997,3.552,3.557,3.592,3.537,3.307,3.221,3.299,3.2760000000000002,3.353,3.3819999999999997,3.4019999999999997,3.46,3.4339999999999997,3.497,3.74,3.7,3.6660000000000004,3.659,3.627,3.56,3.575,3.5380000000000003,3.503,3.4810000000000003,3.29,3.237,3.049,3.0380000000000003,2.927,2.945,2.9019999999999997,2.867,2.805,2.798,2.762,2.622,2.5269999999999997,2.5140000000000002,2.427,2.468,2.421,2.47,2.456,2.415,2.434,2.388,2.344,2.391,2.354,2.3369999999999997,2.378,2.464,2.501,2.605,2.6180000000000003,2.6260000000000003,2.612,2.641,2.662,2.603,2.6919999999999997,2.6439999999999997,2.622,2.654,2.622,2.6180000000000003,2.576,2.5540000000000003,2.465,2.459,2.434,2.369,2.311,2.221,2.253,2.1319999999999997,2.207,2.181,2.133,2.189,2.157,2.14,2.133,2.215,2.189,2.211,2.271
Austin,2.8789999999999996,2.8930000000000002,2.907,2.9989999999999997,2.9789999999999996,2.97,3.042,3.065,3.054,3.234,3.2939999999999996,3.2739999999999996,3.3680000000000003,3.3,3.31,3.2760000000000002,3.358,3.352,3.3110000000000004,3.363,3.425,3.2680000000000002,3.28,3.301,3.173,3.1439999999999997,3.096,3.06,3.075,3.0460000000000003,2.9419999999999997,2.7769999999999997,2.7560000000000002,2.7030000000000003,2.79,2.667,2.719,2.7,2.608,2.6639999999999997,2.6039999999999996,2.815,2.781,2.747,2.678,2.77,2.7889999999999997,2.715,2.841,2.7439999999999998,2.7489999999999997,2.716,2.6710000000000003,2.645,2.6239999999999997,2.655,2.454,2.569,2.688,2.804,2.7680000000000002,2.87,2.947,2.8789999999999996,2.819,2.862,2.852,2.9210000000000003,3.025,3.01,2.9560000000000004,2.926,2.815,2.6660000000000004,2.582,2.605,2.537,2.5269999999999997,2.461,2.463,2.437,2.4019999999999997,2.349,2.272,2.252,2.2319999999999998,2.194,2.169,2.169,2.191,2.1719999999999997,2.187,2.16,2.1630000000000003,2.165,2.137,2.117,2.011,2.0180000000000002,1.986,2.019,1.993,1.9409999999999998,1.933,1.8969999999999998,1.87,1.865,1.973,1.953,1.984,1.9780000000000002,1.976,2.0869999999999997,2.075,2.0869999999999997,2.048,2.07,2.0869999999999997,2.085,2.092,2.121,2.117,2.01,2.0069999999999997,1.984,1.985,2.039,1.9409999999999998,1.964,1.963,1.98,1.953,1.835,1.8219999999999998,1.807,1.785,1.821,1.838,1.854,1.817,1.796,1.736,1.7790000000000001,1.736,1.795,1.845,1.921,2.005,1.993
Baltimore,6.861000000000001,6.9479999999999995,6.7379999999999995,6.781000000000001,6.809,6.473,6.256,6.657,6.711,6.9479999999999995,6.7860000000000005,6.763,6.715,6.797000000000001,6.849,6.81,6.797999999999999,6.9079999999999995,6.83,6.765,7.153,7.239,6.652,6.527,6.43,6.912000000000001,6.582999999999999,6.559,6.77,6.747000000000001,6.819,7.102,7.199,7.321000000000001,7.425,7.487,7.477,7.207999999999999,7.296,7.191,7.047000000000001,7.282,7.108,6.6579999999999995,6.529,6.545,6.34,6.337999999999999,5.784,5.801,5.856,5.626,5.752999999999999,5.69,5.481,5.165,4.928999999999999,5.1370000000000005,5.234,5.245,5.421,5.2589999999999995,5.284,5.336,5.406000000000001,5.33,5.386,5.553999999999999,5.694,5.827000000000001,6.63,7.146,7.127000000000001,6.772,6.941,6.68,6.568,6.691,6.865,6.731,6.372000000000001,6.182,5.882999999999999,5.777,5.876,5.2620000000000005,5.063,4.803,4.793,4.336,4.302,4.168,3.977,3.554,3.5469999999999997,3.628,3.616,3.84,3.963,4.023,4.157,4.316,4.437,4.532,4.439,4.524,4.515,4.537,4.489,4.535,4.592,4.572,4.4110000000000005,4.271,4.212,3.9819999999999998,3.8369999999999997,3.8160000000000003,3.742,3.6910000000000003,3.718,3.6719999999999997,3.6519999999999997,3.5780000000000003,3.535,3.432,3.4139999999999997,3.284,3.241,3.1,3.053,3.074,3.0060000000000002,3.1210000000000004,3.127,2.972,2.912,2.845,2.825,2.8110000000000004,2.863,2.8339999999999996,2.7969999999999997,2.7880000000000003,2.821,2.872,2.845,2.835,2.715
BirminghamA,3.051,3.09,3.179,3.3280000000000003,3.352,3.611,3.827,3.865,3.8819999999999997,4.013,4.11,4.213,4.137,4.117,4.082,3.825,3.739,3.727,3.5989999999999998,3.638,3.659,3.591,3.5210000000000004,3.659,3.5469999999999997,3.3160000000000003,3.5060000000000002,3.492,3.4160000000000004,3.498,3.5469999999999997,3.699,3.677,3.6689999999999996,3.681,3.64,3.3939999999999997,3.4410000000000003,3.182,3.179,3.2960000000000003,2.865,3.016,3.12,2.929,2.955,2.9760000000000004,2.781,2.753,2.589,2.7260000000000004,2.915,2.97,2.918,2.8539999999999996,2.6710000000000003,2.64,2.227,2.123,2.133,2.1790000000000003,2.048,2.129,2.1390000000000002,2.1390000000000002,1.919,1.985,1.9869999999999999,1.9480000000000002,1.9340000000000002,2.035,2.0980000000000003,2.224,2.353,2.378,2.369,2.496,2.504,2.479,2.476,2.444,2.388,2.262,2.3369999999999997,2.314,2.281,2.177,2.201,2.105,2.068,2.005,1.979,1.8969999999999998,1.8780000000000001,1.8219999999999998,1.8219999999999998,1.8090000000000002,1.761,1.724,1.69,1.675,1.6869999999999998,1.6269999999999998,1.614,1.605,1.565,1.663,1.694,1.696,1.694,1.679,1.6680000000000001,1.6569999999999998,1.716,1.7619999999999998,1.7630000000000001,1.774,1.794,1.8719999999999999,1.913,2.02,1.9480000000000002,1.9509999999999998,1.954,1.975,1.983,1.9880000000000002,2.051,2.057,2.032,2.02,2.013,1.9669999999999999,1.8840000000000001,1.8330000000000002,1.6780000000000002,1.692,1.6440000000000001,1.6780000000000002,1.714,1.7109999999999999,1.7109999999999999,1.6480000000000001,1.704,1.7280000000000002,1.8030000000000002,1.7690000000000001,1.8130000000000002,1.896
Boston,4.497,4.572,4.788,4.71,4.669,4.487,4.37,4.238,4.398,4.542,4.584,4.575,4.607,4.649,5.106,5.073,4.928,4.6739999999999995,4.711,4.9110000000000005,5.114,5.206,5.492999999999999,5.239,5.446000000000001,5.31,5.325,5.183,5.025,4.797,4.926,5.162000000000001,5.052,4.877,4.801,4.829,4.685,4.425,4.484,4.334,4.096,4.402,4.7139999999999995,4.7219999999999995,4.861000000000001,4.952,5.121,5.121,5.178999999999999,5.083,5.29,5.602,6.07,6.027,6.027,6.001,5.946000000000001,5.865,6.026,6.127999999999999,5.84,5.653,5.553,5.35,5.263999999999999,5.01,4.727,4.365,4.258,4.27,4.565,4.4639999999999995,4.313,4.159,4.07,4.398,4.398,4.291,4.412,4.842,4.855,4.792,4.88,4.869,4.997,4.899,4.809,4.769,4.817,4.861000000000001,4.531000000000001,4.398,4.538,4.4510000000000005,4.063,4.024,4.026,3.858,3.701,3.2889999999999997,3.201,3.23,3.193,3.115,3.0669999999999997,3.055,2.924,2.889,2.965,2.98,3.161,3.127,3.22,3.28,3.2710000000000004,3.31,3.4330000000000003,3.3819999999999997,3.437,3.451,3.4419999999999997,3.655,3.65,3.4389999999999996,3.405,3.1210000000000004,3.002,2.8760000000000003,2.82,2.863,2.7680000000000002,2.5839999999999996,2.573,2.485,2.326,2.219,2.158,2.128,2.209,2.15,2.177,2.191,2.1830000000000003,2.166,2.166,2.1430000000000002,2.134,2.093,2.129
Buffalo,5.49,5.607,5.715,5.4510000000000005,5.4510000000000005,5.21,5.167999999999999,5.167999999999999,5.077,5.085,5.085,5.32,5.331,5.19,4.999,5.06,4.9830000000000005,5.007,5.71,5.586,6.082999999999999,6.077999999999999,6.22,6.16,6.359,6.39,6.353,6.292999999999999,6.256,5.966,5.62,5.6129999999999995,5.718999999999999,5.431,5.507999999999999,5.37,5.287999999999999,5.752999999999999,5.937,5.218,5.2170000000000005,4.989,4.025,4.0360000000000005,3.9960000000000004,4.206,4.171,4.156000000000001,4.093,4.512,4.439,4.439,3.892,4.148,4.149,3.8480000000000003,3.818,4.103,4.043,3.9989999999999997,3.764,3.7230000000000003,3.53,3.6489999999999996,3.31,3.217,3.127,3.093,2.8339999999999996,3.13,3.264,3.17,3.592,3.708,3.918,3.9530000000000003,3.925,3.8960000000000004,3.841,3.821,3.878,3.964,4.008,3.957,3.81,3.8939999999999997,3.9789999999999996,3.7889999999999997,3.667,3.485,3.638,3.6910000000000003,3.923,3.91,3.656,3.611,3.217,3.1239999999999997,3.0839999999999996,3.102,2.96,2.947,2.998,3.0239999999999996,3.009,2.859,2.883,2.761,2.862,3.035,3.03,3.1180000000000003,3.185,3.1630000000000003,3.054,3.057,3.033,2.935,2.8939999999999997,2.825,2.86,2.86,2.825,2.7110000000000003,2.64,2.499,2.354,2.248,2.255,2.301,2.188,2.169,2.175,2.0980000000000003,2.0909999999999997,2.004,1.965,1.916,1.939,1.9809999999999999,2.0540000000000003,2.026,1.942,1.9280000000000002,1.893,1.893,2.011,2.009,2.031
Charlotte,3.114,3.438,3.49,3.5039999999999996,3.44,3.661,3.818,3.825,3.719,3.773,3.7560000000000002,4.1339999999999995,4.21,4.444,4.838,5.004,4.998,4.808,4.84,5.01,4.978,5.032,4.886,5.144,5.019,5.065,4.936,4.82,4.95,4.712,4.681,4.444,4.599,4.467,4.305,4.203,4.1339999999999995,4.107,3.7969999999999997,3.765,3.7460000000000004,3.6060000000000003,3.556,3.372,3.266,3.09,3.175,3.2110000000000003,3.12,3.218,3.259,3.5,3.4619999999999997,3.622,3.5989999999999998,3.489,3.4389999999999996,3.5639999999999996,3.515,3.477,3.572,3.451,3.431,3.575,3.533,3.551,3.2430000000000003,3.307,3.023,3.179,3.338,3.3280000000000003,3.333,3.347,3.395,3.3139999999999996,3.4189999999999996,3.4,3.38,3.345,3.299,3.2460000000000004,3.154,3.069,2.8789999999999996,2.841,2.741,2.6519999999999997,2.591,2.502,2.565,2.553,2.535,2.4930000000000003,2.475,2.465,2.435,2.487,2.544,2.5639999999999996,2.4019999999999997,2.456,2.463,2.549,2.515,2.583,2.5980000000000003,2.568,2.478,2.489,2.479,2.387,2.436,2.4219999999999997,2.447,2.674,2.64,2.658,2.608,2.6289999999999996,2.6430000000000002,2.6319999999999997,2.596,2.6319999999999997,2.66,2.639,2.759,2.6839999999999997,2.727,2.647,2.562,2.555,2.479,2.436,2.387,2.248,2.24,2.25,2.225,2.226,2.305,2.2640000000000002,2.278,2.217,2.2880000000000003,2.376,2.4090000000000003,2.4619999999999997,2.467
Chicago,6.405,6.68,6.48,6.546,6.56,6.656000000000001,7.079,6.879,7.155,7.204,7.082000000000001,10.880999999999998,11.125,12.032,13.345,13.315999999999999,13.255,13.581,11.698,11.374,11.639000000000001,11.758,11.655999999999999,11.145999999999999,11.42,10.977,8.385,8.183,7.256,7.215,7.221,7.07,6.925,7.6770000000000005,8.423,7.894,7.901,7.627000000000001,7.6370000000000005,7.587000000000001,7.4479999999999995,7.482,7.303,7.0489999999999995,6.705,6.816,6.8839999999999995,6.836,6.462000000000001,5.614,5.882000000000001,5.604,5.587000000000001,5.615,5.9639999999999995,5.85,5.932,5.899,5.72,5.659,5.675,5.568,5.521,5.946000000000001,6.176,6.01,6.131,6.172999999999999,6.031000000000001,5.797000000000001,5.872000000000001,5.769,5.742999999999999,6.385,6.763999999999999,6.649,6.435,6.733,6.557,6.42,6.447,6.316,6.313,6.436,6.419,6.648,6.412000000000001,6.492000000000001,6.019,5.6160000000000005,5.749,6.144,5.818,5.593999999999999,5.642,5.874,5.855,5.766,5.778,5.888999999999999,5.702000000000001,5.746,5.52,5.397,5.422000000000001,5.1739999999999995,5.195,5.093,5.235,5.202000000000001,4.8839999999999995,4.908,4.86,4.7780000000000005,4.5280000000000005,4.42,4.387,4.5089999999999995,4.453,4.47,4.446000000000001,4.425,4.292,3.985,4.0,4.006,4.0,3.903,3.78,3.734,3.6660000000000004,3.694,3.7760000000000002,3.7769999999999997,3.4,3.471,3.4410000000000003,3.46,3.4930000000000003,3.552,3.64,3.51,3.514,3.565,3.555,3.7319999999999998,3.705,3.6239999999999997,3.5260000000000002
Cincinnati,5.082,5.121,5.102,5.181,5.105,5.064,5.121,5.015,4.958,4.963,4.926,5.202000000000001,5.724,6.098,6.0760000000000005,6.273,6.678999999999999,6.898,5.933,6.507999999999999,6.3870000000000005,6.447,6.097,6.05,6.051,5.989,5.928,5.452999999999999,5.442,5.638999999999999,5.598,5.501,5.425,5.671,5.407,5.434,5.379,5.499,5.318,5.153,4.874,4.728,4.797,4.502,4.034,4.07,4.039,3.92,3.906,3.9730000000000003,4.012,3.927,3.909,3.799,3.9610000000000003,4.021,3.945,3.985,4.037,4.01,3.9419999999999997,3.9789999999999996,4.063,4.106,4.058,4.064,4.155,4.199,4.322,4.303,4.368,4.436,4.515,4.718,4.708,4.785,4.9,4.97,5.102,5.105,5.086,5.124,5.144,5.022,5.002,4.879,4.592,4.449,4.16,4.071000000000001,4.082,3.9139999999999997,3.7460000000000004,3.449,3.36,3.449,3.3369999999999997,3.238,3.27,3.343,3.3310000000000004,3.372,3.342,3.353,3.306,3.2510000000000003,3.3110000000000004,3.2910000000000004,3.38,3.426,3.388,3.344,3.375,3.319,3.202,3.194,3.233,3.19,3.198,3.335,3.265,3.227,3.281,3.12,3.0380000000000003,2.958,2.9360000000000004,2.946,2.991,2.95,2.92,2.923,2.966,2.924,2.792,2.803,2.8139999999999996,2.779,2.779,2.7539999999999996,2.701,2.589,2.5469999999999997,2.503,2.539,2.569,2.53,2.472,2.494
