City,2020-01-01,2020-01-02,2020-01-03,2020-01-04,2020-01-05,2020-01-06,2020-01-07,2020-01-08,2020-01-09,2020-01-10,2020-01-11,2020-01-12,2020-01-13,2020-01-14,2020-01-15,2020-01-16,2020-01-17,2020-01-18,2020-01-19,2020-01-20,2020-01-21,2020-01-22,2020-01-23,2020-01-24,2020-01-25,2020-01-26,2020-01-27,2020-01-28,2020-01-29,2020-01-30,2020-01-31,2020-02-01,2020-02-02,2020-02-03,2020-02-04,2020-02-05,2020-02-06,2020-02-07,2020-02-08,2020-02-09,2020-02-10,2020-02-11,2020-02-12,2020-02-13,2020-02-14,2020-02-15,2020-02-16,2020-02-17,2020-02-18,2020-02-19,2020-02-20,2020-02-21,2020-02-22,2020-02-23,2020-02-24,2020-02-25,2020-02-26,2020-02-27,2020-02-28,2020-02-29,2020-03-01,2020-03-02,2020-03-03,2020-03-04,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-16,2020-05-17,2020-05-18,2020-05-19,2020-05-20,2020-05-21,2020-05-22,2020-05-23,2020-05-24,2020-05-25,2020-05-26,2020-05-27,2020-05-28
Albuquerque,1.141,1.1420000000000001,1.114,1.1159999999999999,1.109,1.147,1.129,1.119,1.119,1.1159999999999999,1.1840000000000002,1.163,1.127,1.127,1.125,1.04,1.038,1.042,1.023,1.021,0.9490000000000001,0.9440000000000001,0.997,0.997,0.985,0.915,0.9440000000000001,0.955,0.955,0.925,0.9640000000000001,0.9890000000000001,0.968,0.9670000000000001,0.9670000000000001,1.024,1.051,1.008,0.943,0.9390000000000001,0.9309999999999999,0.868,1.0,0.986,1.044,1.044,1.0070000000000001,0.897,0.898,1.025,1.036,0.9990000000000001,0.992,1.053,1.058,1.094,1.188,1.139,1.213,1.204,1.204,1.147,1.219,1.24,1.218,1.2,1.222,1.254,1.203,1.215,1.215,1.087,1.032,0.746,1.079,1.028,0.98,1.0070000000000001,0.9470000000000001,0.995,1.014,1.129,1.129,1.129,1.138,1.138,1.099,1.1340000000000001,1.129,1.038,0.97,1.0190000000000001,1.0,0.988,0.965,0.961,0.8640000000000001,0.9570000000000001,0.9590000000000001,1.025,1.022,1.064,1.051,1.038,1.036,1.126,1.156,1.137,1.15,1.153,1.158,1.137,1.092,1.153,1.107,1.14,1.053,1.063,1.062,1.069,1.04,1.02,1.082,1.064,1.067,1.036,1.04,1.041,0.976,0.9570000000000001,0.904,0.9009999999999999,0.875,0.867,0.848,0.835,0.955,0.899,0.9490000000000001,0.9259999999999999,0.9590000000000001,0.948,0.9159999999999999,0.907,0.9159999999999999,0.929,1.0,1.09,1.102
Atlanta,1.9080000000000001,2.822,2.863,2.863,2.83,2.83,2.83,3.8289999999999997,3.7889999999999997,3.792,3.792,3.616,3.807,4.452,4.715,4.715,4.4030000000000005,3.98,3.975,4.211,4.143,4.143,4.708,5.132999999999999,5.136,5.077,5.586,5.586,4.702,4.702,4.702,4.702,5.513999999999999,5.5360000000000005,5.5360000000000005,6.136,6.136,5.016,3.475,3.475,3.415,2.714,2.714,2.714,2.714,3.679,3.679,3.679,3.679,3.679,3.553,3.553,3.3089999999999997,3.6289999999999996,3.6289999999999996,3.795,3.795,3.795,3.3930000000000002,3.065,2.25,2.25,2.25,2.25,2.25,2.017,1.9680000000000002,1.848,1.848,1.848,1.848,1.848,1.922,1.855,1.9380000000000002,1.9380000000000002,1.9380000000000002,0.958,0.958,0.679,0.679,0.593,0.654,0.654,0.861,0.861,1.121,0.927,1.24,1.247,1.247,1.245,1.5530000000000002,1.537,1.945,1.945,1.9480000000000002,1.99,1.9609999999999999,1.983,1.976,1.975,1.975,1.943,1.949,1.949,1.953,1.9040000000000001,1.9669999999999999,1.831,1.831,1.889,1.8119999999999998,1.837,1.6680000000000001,1.7309999999999999,1.744,1.744,1.7830000000000001,1.7369999999999999,2.004,2.004,2.114,2.066,2.211,2.207,2.229,2.167,2.167,2.1519999999999997,2.09,2.105,2.095,2.0869999999999997,2.052,1.8969999999999998,1.9480000000000002,1.8619999999999999,1.8969999999999998,1.8430000000000002,1.8130000000000002,1.8119999999999998,1.784,1.824,1.855,1.893,1.906,1.9240000000000002,1.9240000000000002
Austin,2.5980000000000003,2.597,2.597,2.521,2.521,2.521,2.9539999999999997,2.9019999999999997,2.9019999999999997,2.9019999999999997,2.8280000000000003,2.813,3.0610000000000004,3.31,3.31,2.957,2.931,2.931,3.215,3.198,3.198,2.971,2.971,3.207,3.116,3.19,3.19,3.0039999999999996,3.0039999999999996,3.0039999999999996,2.6889999999999996,2.6319999999999997,2.6319999999999997,2.6319999999999997,2.582,2.582,2.6489999999999996,2.6289999999999996,1.9880000000000002,1.7990000000000002,1.8019999999999998,1.8019999999999998,1.8019999999999998,1.8019999999999998,1.964,2.092,2.092,2.092,2.577,2.461,2.461,2.525,2.516,2.4930000000000003,2.887,2.952,2.952,2.952,2.764,2.7310000000000003,2.7310000000000003,2.7310000000000003,2.7089999999999996,2.086,2.344,2.222,2.032,2.032,2.028,2.028,2.028,2.028,2.028,2.161,2.161,2.161,1.963,1.9409999999999998,1.796,1.4509999999999998,1.521,1.4169999999999998,1.4169999999999998,1.652,1.652,1.652,1.652,1.652,1.652,1.652,1.4340000000000002,1.4769999999999999,1.47,1.3840000000000001,1.3840000000000001,1.3840000000000001,2.08,2.0340000000000003,2.024,2.02,2.02,2.02,2.02,2.233,2.2159999999999997,2.387,2.391,2.431,2.428,2.428,2.4019999999999997,2.3480000000000003,2.237,2.191,2.1430000000000002,2.102,2.102,2.154,2.025,2.11,2.11,2.103,1.993,1.966,1.943,1.868,1.8840000000000001,1.946,1.903,1.93,1.973,1.871,1.7630000000000001,1.7269999999999999,1.528,1.608,1.5859999999999999,1.645,1.6219999999999999,1.639,1.636,1.574,2.01,2.075,2.104,2.106,2.254,2.176,2.312
Baltimore,6.237,6.572,6.388999999999999,6.388999999999999,7.211,7.211,7.211,6.523,6.301,5.688,5.688,5.688,5.079,4.516,4.718999999999999,4.707,4.334,4.2860000000000005,4.2860000000000005,4.2860000000000005,4.2860000000000005,4.478,4.486000000000001,4.487,4.865,4.865,4.843,5.381,5.381,5.447,5.455,5.376,4.765,4.765,4.765,4.939,4.76,5.0169999999999995,5.0169999999999995,4.668,4.836,4.794,4.837,4.837,4.668,4.663,4.39,4.624,4.624,4.624,4.523,4.523,4.2330000000000005,4.058,4.051,3.88,3.7430000000000003,3.958,3.958,3.833,3.472,3.4730000000000003,3.4730000000000003,3.4730000000000003,3.2710000000000004,3.265,3.265,3.2710000000000004,3.147,4.073,4.073,4.31,3.88,3.963,3.9939999999999998,4.751,5.706,5.706,5.706,6.129,6.461,6.461,6.61,6.61,6.277,5.138999999999999,5.138999999999999,5.138999999999999,5.084,4.874,4.87,3.909,3.9210000000000003,2.984,2.94,2.94,2.94,2.883,2.883,2.946,3.0239999999999996,3.0260000000000002,3.0260000000000002,3.0469999999999997,3.138,2.951,2.951,2.7110000000000003,2.9739999999999998,3.045,3.045,3.045,3.5980000000000003,3.5980000000000003,3.511,3.055,3.052,3.08,3.08,3.0989999999999998,3.0839999999999996,3.0839999999999996,3.072,2.805,2.806,2.806,3.04,2.803,2.82,2.734,2.8760000000000003,2.8760000000000003,2.772,2.763,2.763,2.9589999999999996,2.6010000000000004,2.602,2.562,2.5580000000000003,2.5580000000000003,1.9609999999999999,1.916,1.033,1.5130000000000001,1.7730000000000001,1.7730000000000001,1.751,1.754
BirminghamA,2.2319999999999998,2.4659999999999997,2.4659999999999997,2.4659999999999997,2.524,2.524,2.524,3.109,3.069,3.032,3.032,2.7969999999999997,2.697,3.056,3.0439999999999996,2.932,2.839,2.839,2.839,2.822,2.9330000000000003,2.9330000000000003,3.21,3.2960000000000003,3.361,3.1830000000000003,3.498,3.498,3.2260000000000004,3.2260000000000004,3.2260000000000004,2.78,2.589,2.589,2.589,2.4290000000000003,2.4290000000000003,1.3969999999999998,1.8,1.8,1.8519999999999999,1.8519999999999999,1.8519999999999999,1.8519999999999999,1.8519999999999999,2.019,2.1959999999999997,2.39,2.39,2.39,2.3890000000000002,2.3890000000000002,2.239,2.146,2.146,2.146,2.146,2.137,2.137,1.9,1.4609999999999999,1.4609999999999999,1.4609999999999999,1.4609999999999999,1.421,1.102,1.273,1.222,1.439,1.439,1.439,1.439,1.4480000000000002,1.4480000000000002,1.91,1.91,1.91,1.3030000000000002,1.3030000000000002,0.748,0.792,0.672,0.675,0.555,0.645,0.645,0.78,0.78,0.8959999999999999,0.9540000000000001,0.9540000000000001,0.9540000000000001,0.95,1.3159999999999998,1.742,1.77,1.77,1.709,1.61,1.676,1.696,1.79,1.79,1.791,1.92,1.911,1.911,1.84,1.5919999999999999,1.4780000000000002,1.4780000000000002,1.4680000000000002,1.501,1.56,1.5130000000000001,1.482,1.483,1.483,1.5119999999999998,1.305,1.569,1.569,1.635,1.6380000000000001,1.757,1.7280000000000002,1.7919999999999998,1.8559999999999999,1.8559999999999999,1.9169999999999998,1.9180000000000001,1.954,1.954,1.954,1.916,1.758,1.672,1.595,1.609,1.609,1.604,1.69,1.525,1.569,1.531,1.531,1.5390000000000001,1.538,1.538
Boston,5.517,5.982,5.982,5.982,6.041,6.041,6.041,5.928999999999999,6.849,5.207000000000001,5.207000000000001,5.03,4.923,4.913,5.34,4.361000000000001,6.181,6.181,5.932,6.205,6.205,5.957000000000001,5.808,5.819,6.632000000000001,6.632000000000001,7.0120000000000005,7.3,7.721,7.324,7.324,3.8339999999999996,4.112,3.9019999999999997,3.9019999999999997,3.9019999999999997,4.456,4.76,3.802,3.802,3.802,3.802,3.802,5.1739999999999995,4.863,4.7669999999999995,4.523,4.313,4.313,4.313,4.643,4.643,4.8839999999999995,4.471,4.471,4.539,4.539,4.059,3.859,3.522,3.111,3.267,3.418,3.418,3.418,3.0660000000000003,2.844,2.824,3.057,3.057,2.912,2.912,2.949,3.096,3.325,3.514,3.4560000000000004,3.2539999999999996,3.13,3.13,3.13,3.549,3.549,3.451,3.451,3.4,3.4,3.238,2.804,2.9760000000000004,2.9760000000000004,2.781,2.781,2.9339999999999997,2.793,2.793,2.793,2.793,3.095,3.095,3.029,3.029,3.0189999999999997,3.031,3.005,3.002,2.998,2.998,3.27,3.431,3.431,3.431,3.727,3.763,3.763,4.107,3.2769999999999997,3.378,3.138,3.0980000000000003,3.1010000000000004,3.108,3.108,2.8930000000000002,2.8930000000000002,2.759,2.674,2.195,2.3280000000000003,2.3280000000000003,2.267,2.4330000000000003,2.343,2.249,2.147,1.8940000000000001,1.8430000000000002,1.755,1.6130000000000002,1.848,1.79,1.7919999999999998,1.788,1.614,1.5819999999999999,1.597,1.695,1.6780000000000002,1.7380000000000002
Buffalo,2.819,2.7289999999999996,2.7289999999999996,2.7289999999999996,4.561,4.561,4.374,4.008,4.008,1.435,1.435,1.435,4.131,4.131,3.9930000000000003,3.9930000000000003,4.283,4.283,4.283,4.283,4.283,4.47,4.654,4.654,6.722,6.722,5.4270000000000005,4.564,4.935,4.935,4.935,4.8469999999999995,4.8469999999999995,4.781000000000001,4.781000000000001,4.781000000000001,4.7010000000000005,4.758,4.758,4.44,4.143,4.053,3.947,3.0669999999999997,3.3569999999999998,3.3569999999999998,3.924,4.138999999999999,4.147,4.147,4.147,4.147,4.0360000000000005,3.696,3.84,4.004,4.065,3.852,3.852,4.086,2.852,2.278,1.9180000000000001,1.864,1.864,1.923,1.923,2.418,2.504,2.504,2.504,2.439,2.459,2.767,2.952,3.596,3.614,3.614,3.682,3.655,3.6239999999999997,3.615,3.867,3.867,3.867,4.011,4.011,3.991,3.745,3.239,3.195,3.1639999999999997,3.1189999999999998,3.1189999999999998,3.0810000000000004,3.072,3.062,3.048,3.048,3.09,2.488,2.3080000000000003,2.311,2.406,2.5660000000000003,2.293,2.293,2.218,2.773,2.735,2.78,2.798,2.7889999999999997,2.7889999999999997,2.739,2.739,2.992,2.9930000000000003,3.134,3.2430000000000003,3.677,3.677,3.667,3.159,3.159,3.1180000000000003,3.1689999999999996,3.1689999999999996,3.1689999999999996,2.823,2.824,2.824,2.8160000000000003,2.5989999999999998,2.483,2.4290000000000003,2.2769999999999997,2.042,2.1319999999999997,2.1319999999999997,2.167,1.84,1.84,1.838,1.829,1.807,1.807,1.841,1.724
Charlotte,1.395,2.5660000000000003,3.306,3.3160000000000003,3.1839999999999997,3.1839999999999997,3.1839999999999997,3.7560000000000002,3.864,3.864,3.864,3.864,4.521,4.604,4.63,4.689,4.415,4.165,4.165,4.5489999999999995,4.484,4.361000000000001,4.6160000000000005,4.612,4.566,4.566,4.426,4.2989999999999995,4.164,4.164,4.027,4.027,4.254,4.254,4.314,4.374,4.592,3.827,3.6239999999999997,3.589,3.6910000000000003,3.475,3.475,3.475,3.6860000000000004,3.4619999999999997,3.4619999999999997,3.4619999999999997,3.4619999999999997,3.4619999999999997,3.4619999999999997,4.1,3.9330000000000003,4.01,4.01,4.0169999999999995,4.0169999999999995,4.0169999999999995,4.061,4.1,4.135,3.9,3.9,4.099,4.099,4.099,3.4,3.662,3.738,3.738,3.5239999999999996,3.5239999999999996,2.8739999999999997,2.741,2.741,2.4130000000000003,2.492,2.302,1.175,0.498,0.498,0.623,0.623,0.623,0.623,0.546,0.545,0.5,0.7709999999999999,0.7709999999999999,0.757,0.757,1.115,1.1640000000000001,1.635,1.635,1.6680000000000001,1.55,1.55,1.745,1.724,1.7919999999999998,1.7919999999999998,1.8030000000000002,1.847,1.867,1.867,1.745,1.7690000000000001,1.682,1.7380000000000002,1.7169999999999999,1.8659999999999999,1.857,1.584,2.094,2.056,2.0709999999999997,2.122,2.083,2.097,2.097,2.18,2.171,2.537,2.537,2.574,2.489,2.496,2.398,2.35,2.4290000000000003,2.444,2.43,2.434,2.445,2.416,2.426,2.439,1.963,1.922,1.791,1.8869999999999998,1.7830000000000001,1.659,1.9469999999999998,1.9469999999999998,2.077,2.077
Chicago,5.282,5.702000000000001,5.693,5.693,5.693,5.693,5.575,5.575,5.388999999999999,5.35,5.35,5.372000000000001,5.29,7.599,8.362,8.362,8.362,8.362,8.362,8.362,8.341000000000001,9.012,8.937999999999999,11.001,11.001,10.318,10.564,10.512,7.644,7.644,7.644,7.287999999999999,7.287999999999999,7.287999999999999,7.666,7.722,7.722,7.882000000000001,7.882000000000001,7.882000000000001,8.796,6.335,6.266,6.965,6.965,6.154,6.199,6.199,6.199,5.997999999999999,5.997999999999999,5.99,6.105,6.105,6.809,6.809,6.505,6.571000000000001,6.279,5.954,6.357,6.357,6.357,6.357,6.357,5.632999999999999,5.638999999999999,5.231,5.231,3.4419999999999997,3.4419999999999997,2.911,2.911,3.002,2.9160000000000004,2.9160000000000004,2.9160000000000004,6.2139999999999995,6.2139999999999995,6.2139999999999995,7.8020000000000005,7.8020000000000005,8.957,8.957,8.249,8.249,7.05,7.05,6.181,6.154,5.487,5.716,4.633,4.365,4.365,4.365,4.365,4.365,4.329,4.082,4.082,3.633,3.312,3.3789999999999996,3.199,3.3760000000000003,2.835,2.835,2.461,2.765,2.765,2.89,2.89,2.898,3.0639999999999996,3.069,3.045,3.3160000000000003,3.3160000000000003,3.64,3.255,3.1210000000000004,3.2680000000000002,3.2680000000000002,3.2430000000000003,3.487,3.4339999999999997,3.4339999999999997,3.43,3.35,3.367,3.391,3.391,3.391,3.219,3.4189999999999996,3.429,3.233,3.21,3.1689999999999996,2.799,2.906,2.906,2.783,2.6060000000000003,2.591,2.541,2.627,2.627
Cincinnati,7.627000000000001,7.579,7.579,7.579,7.579,7.579,7.1739999999999995,7.1739999999999995,5.898,5.898,5.898,5.898,6.28,6.314,4.378,4.378,4.333,4.333,4.31,4.31,4.31,4.4830000000000005,4.486000000000001,5.856,5.856,5.856,5.856,6.341,2.7910000000000004,2.7910000000000004,2.7910000000000004,2.7910000000000004,2.7910000000000004,5.622999999999999,5.622999999999999,5.622999999999999,5.622999999999999,,1.521,1.521,1.521,1.521,3.767,3.6489999999999996,3.695,3.845,3.845,3.845,3.845,3.845,3.845,3.845,3.812,4.309,4.309,4.309,4.334,3.991,4.178,3.688,3.252,3.2110000000000003,3.2110000000000003,3.2110000000000003,3.2110000000000003,3.3280000000000003,3.3280000000000003,3.221,3.221,3.221,3.221,2.539,2.539,2.539,3.031,4.104,4.34,3.71,3.71,4.641,4.757,3.196,3.187,3.187,3.187,3.187,3.1660000000000004,3.1660000000000004,3.167,3.167,3.0989999999999998,2.9019999999999997,2.801,2.782,2.404,2.404,2.501,2.585,2.585,2.6830000000000003,2.6830000000000003,2.5140000000000002,2.5140000000000002,2.437,2.5180000000000002,2.5180000000000002,2.6910000000000003,2.7260000000000004,2.747,2.747,2.747,2.6,2.563,2.563,2.285,2.351,2.351,2.392,2.392,2.3,2.19,2.19,2.378,2.351,2.351,2.343,2.324,2.3369999999999997,2.3369999999999997,2.513,2.491,2.491,2.441,2.441,2.441,2.611,2.8139999999999996,2.801,2.885,2.4419999999999997,2.38,2.275,2.231,2.164,2.112,2.207,2.093,2.012,2.012
