FIPS,3/1/2020,3/2/2020,3/3/2020,3/4/2020,3/5/2020,3/6/2020,3/7/2020,3/8/2020,3/9/2020,3/10/2020,3/11/2020,3/12/2020,3/13/2020,3/14/2020,3/15/2020,3/16/2020,3/17/2020,3/18/2020,3/19/2020,3/20/2020,3/21/2020,3/22/2020,3/23/2020,3/24/2020,3/25/2020,3/26/2020,3/27/2020,3/28/2020,3/29/2020,3/30/2020,3/31/2020,4/1/2020,4/2/2020,4/3/2020,4/4/2020,4/5/2020,4/6/2020,4/7/2020,4/8/2020,4/9/2020,4/10/2020,4/11/2020,4/12/2020,4/13/2020,4/14/2020,4/15/2020,4/16/2020,4/17/2020,4/18/2020,4/19/2020,4/21/2020,4/22/2020,4/23/2020,4/24/2020,4/25/2020,4/26/2020,4/27/2020,4/28/2020,4/29/2020,4/30/2020,5/1/2020,5/2/2020,5/3/2020,5/4/2020,5/5/2020,5/6/2020,5/7/2020,5/8/2020,5/9/2020,5/10/2020,5/11/2020,5/12/2020,5/13/2020,5/14/2020,5/15/2020,5/16/2020,5/17/2020,5/18/2020,5/19/2020,5/20/2020,5/21/2020,5/22/2020,5/23/2020,5/24/2020,5/25/2020,5/26/2020,5/27/2020,5/28/2020,5/30/2020,5/31/2020,6/1/2020,6/2/2020
01001,7.194,14.587,13.865,13.88,14.659,17.066,11.562000000000001,8.51,15.882,14.429,14.484000000000002,15.707,15.103,8.297,5.4879999999999995,11.725999999999999,10.317,9.624,8.482000000000001,9.838,4.694,2.271,6.438,7.03,6.912000000000001,6.731,7.601,4.54,2.633,5.896,5.196000000000001,6.278,6.23,7.47,4.006,1.0490000000000002,5.216,4.851,4.792,5.662000000000001,6.2829999999999995,4.901,0.209,6.356,5.348,6.2410000000000005,6.667999999999999,8.193,5.079,0.06,7.013,6.7379999999999995,5.146,7.73,5.138,3.7260000000000004,7.452999999999999,7.694,5.92,7.977,11.106,6.922000000000001,5.568,8.019,10.593,11.105,11.257,11.474,7.704,5.914,8.067,9.676,9.847000000000001,9.427,10.582,7.992999999999999,4.852,8.958,8.372,10.720999999999998,11.162,11.203,7.898,5.906000000000001,4.851,8.206,9.762,10.738,5.732,5.58,8.932,9.008
01003,9.78,12.042,11.481,10.879000000000001,12.380999999999998,13.789000000000001,11.481,9.971,11.565999999999999,11.936,12.102,12.588,13.547,10.870999999999999,9.601,9.538,8.747,8.51,8.58,11.389000000000001,6.71,4.281000000000001,6.645,6.422000000000001,6.63,6.617999999999999,7.402,5.5,3.148,5.2410000000000005,4.999,6.053999999999999,5.954,6.757999999999999,4.3919999999999995,1.324,4.484,4.726,5.042,5.587999999999999,6.252000000000001,4.806,0.126,5.877000000000001,5.934,6.382000000000001,6.421,6.938,5.206,2.02,7.04,7.1579999999999995,4.427,8.429,6.53,5.015,7.19,7.5,6.199,8.283999999999999,9.638,8.173,9.26,8.697000000000001,8.972000000000001,10.556,9.168,9.892000000000001,8.488999999999999,10.123,8.952,9.384,8.53,8.373,9.045,9.158,9.074,8.956,8.538,9.68,10.134,11.373,9.164,8.433,10.238,9.792,9.972000000000001,9.847000000000001,9.037,9.854,10.619000000000002,9.357000000000001
01005,8.347999999999999,10.004,9.267000000000001,6.517,8.247,11.002,13.145999999999999,7.382000000000001,9.166,8.668,9.596,11.567,11.258,9.522,5.416,9.632,8.556000000000001,7.252000000000001,7.0089999999999995,7.459,6.228,3.6239999999999997,6.06,6.742999999999999,6.645,7.015,7.994,5.284,4.85,6.412000000000001,5.479,5.84,5.495,6.155,5.184,2.1830000000000003,4.763,4.406000000000001,4.388,5.946000000000001,7.476,4.159,1.215,4.716,4.762,5.0489999999999995,5.832999999999999,6.3,5.421,0.665,6.662000000000001,7.3020000000000005,4.647,7.358,6.1,4.848,6.513,8.08,5.888999999999999,8.377,10.412,8.561,7.645,8.298,10.742,9.129,9.204,8.352,9.165,6.524,7.9110000000000005,8.506,8.05,7.912000000000001,11.114,8.65,6.4,8.556000000000001,9.064,9.767999999999999,8.837,11.717,8.039,7.0760000000000005,6.676,7.994,9.481,9.131,5.946000000000001,6.7589999999999995,12.689,8.072000000000001
01007,13.008,23.076,24.164,22.768,26.944000000000003,32.374,27.175,12.452,29.973000000000003,24.206,27.877,26.125999999999998,29.176,17.004,13.342,16.496,17.37,19.282,18.225,18.496,6.752000000000001,3.5810000000000004,8.878,12.335,13.569,11.517999999999999,13.157,8.58,4.14,10.345999999999998,9.363,10.754000000000001,10.873,14.235999999999999,7.3839999999999995,2.911,8.849,7.141,10.532,9.952,13.360999999999999,7.242999999999999,0.76,10.603,12.359000000000002,12.15,13.478,13.482000000000001,10.92,0.991,14.424000000000001,12.939,8.542,18.094,8.804,5.499,14.712,14.728,9.465,13.356,17.084,11.017999999999999,9.173,14.064,14.789000000000001,19.972,19.894000000000002,17.752,14.540999999999999,10.36,15.390999999999998,16.502,17.109,14.124,17.355999999999998,14.106,8.257,13.994000000000002,14.117,17.412,18.211,22.685,15.277999999999999,8.8,6.324,12.015999999999998,14.285,15.739,10.025,7.778,15.392999999999999,15.725
01009,15.963,22.456,23.221999999999998,23.035,23.676,26.543000000000003,21.764,14.292,24.033,22.941999999999997,23.612,24.595,25.029,17.865,10.462,20.85,18.750999999999998,16.429000000000002,16.1,16.148,9.763,4.954,10.32,9.495,13.944,12.992,14.069,8.618,4.372,10.76,9.484,12.526,13.245,14.549000000000001,7.914,1.989,10.689,9.551,10.065,11.477,14.08,8.145,0.6809999999999999,13.091,13.888,15.823,15.437999999999999,16.773,10.662,1.334,15.267000000000001,16.437,12.914000000000001,16.320999999999998,9.8,6.176,14.965,15.505999999999998,13.654000000000002,16.154,18.317999999999998,12.802,9.812000000000001,15.793,17.708,20.234,18.722,17.708,15.725999999999999,10.282,16.625999999999998,18.858,17.813,17.562,18.0,13.665,9.29,16.176,14.184000000000001,18.294,18.167,20.272000000000002,13.668,11.755999999999998,8.576,15.988,17.766,18.247,12.138,8.652999999999999,17.68,14.772
01011,12.907,17.151,25.561999999999998,10.087,19.226,18.285999999999998,27.929000000000002,10.907,12.33,18.54,12.495999999999999,28.301,23.705,19.643,12.117,15.167,9.655,11.915,14.218,15.552,8.25,7.4479999999999995,8.511000000000001,8.34,19.364,11.198,11.235999999999999,8.176,3.108,8.147,3.158,14.433,10.033,5.062,7.916,3.091,1.671,1.9280000000000002,2.1,2.404,7.857,5.736000000000001,0.6859999999999999,2.046,4.296,3.4560000000000004,2.484,9.704,6.602,0.105,5.006,8.828,2.515,7.471,3.048,3.2710000000000004,3.9539999999999997,4.547,4.519,10.253,14.876,11.125,9.836,8.517999999999999,14.617,18.418,13.27,12.378,14.225,11.515999999999998,13.866,13.747,10.104,15.279000000000002,17.624000000000002,9.141,3.852,12.425,12.245,11.944,13.970999999999998,16.612000000000002,9.264,3.87,5.547999999999999,12.362,6.565,8.508,7.557,2.109,8.388,8.389
01013,11.775,13.187000000000001,13.158,8.84,13.58,20.035999999999998,20.771,9.471,15.399000000000001,10.282,12.287,14.958,19.592,15.55,7.877000000000001,11.145999999999999,10.684000000000001,8.731,10.884,11.104000000000001,8.976,3.983,7.002000000000001,7.63,6.732,5.824,8.068,6.16,3.036,5.731,5.571000000000001,6.896,5.684,7.859,5.496,3.45,4.832,4.0680000000000005,5.346,5.39,7.684,6.813,1.5590000000000002,7.587999999999999,5.992000000000001,6.154,6.07,8.886000000000001,8.74,2.63,10.18,8.142000000000001,4.321000000000001,8.443999999999999,5.7379999999999995,3.352,7.841,7.959,6.244,12.385,13.001,9.331,8.937999999999999,10.581,10.802,12.442,11.752,14.964,13.054,7.085,10.732000000000001,13.409,10.764000000000001,12.556,14.062000000000001,13.904000000000002,10.918,13.417,11.192,13.112,15.783,20.242,15.272,11.51,13.419,11.345999999999998,13.959000000000001,14.392999999999999,11.57,15.408,15.511,12.253
01015,8.263,9.818999999999999,9.986,9.43,10.392000000000001,12.624,10.965,8.644,10.329,10.048,10.6,11.241,11.149000000000001,9.656,5.992999999999999,9.464,8.513,7.89,8.49,8.081,5.858,2.821,4.98,6.146,7.131,7.055,7.474,5.347,2.9730000000000003,6.221,5.252999999999999,6.086,6.434,7.291,4.864,1.16,4.879,4.857,5.0760000000000005,5.77,5.752000000000001,5.052,0.078,5.455,5.68,6.018,6.587000000000001,7.568,5.655,0.24,7.308,6.7620000000000005,5.921,7.4,5.646,3.76,6.85,7.4079999999999995,6.257999999999999,7.982,10.007,8.122,6.725,8.241,8.738,9.837,9.338,8.384,8.672,7.191,8.251,9.429,8.309,9.472000000000001,9.727,9.482000000000001,5.7379999999999995,9.047,9.146,10.035,10.835999999999999,10.989,9.091000000000001,8.011000000000001,5.822,9.383,9.651,10.290999999999999,6.942,7.377999999999999,9.92,8.996
01017,11.868,15.288,13.536,13.538,14.645,17.873,16.858,8.792,13.59,14.712,14.360999999999999,16.092,16.598,12.262,6.564,12.946,10.693,9.746,8.835,10.477,5.777,3.035,6.756,6.856,6.362,6.028,7.941,5.263999999999999,2.199,5.382000000000001,5.5360000000000005,5.438,6.555,6.35,4.381,0.498,4.61,4.096,3.7889999999999997,5.296,6.1339999999999995,5.247000000000001,0.44799999999999995,4.777,5.7860000000000005,6.334,6.822,8.021,4.458,0.055,7.127000000000001,7.026,4.808,8.415,6.553,3.408,6.172000000000001,6.5329999999999995,7.28,8.635,10.412,8.008,5.955,8.578,9.846,14.104000000000001,10.929,12.418,10.052,7.046,9.546,11.183,8.982000000000001,10.335999999999999,9.943999999999999,8.718,5.547000000000001,8.491,9.179,11.32,12.519,12.082,8.368,6.226,5.364,8.943,9.568,11.366,7.026,5.6579999999999995,11.651,9.036
01019,14.0,11.214,12.665,11.198,13.886,21.359,13.638,12.01,12.267999999999999,12.859000000000002,13.725,15.48,13.412,11.929,7.7139999999999995,11.892000000000001,10.016,8.137,8.702,8.083,7.235,4.845,6.114,5.096,7.374,6.874,7.461,5.7,5.797999999999999,6.426,5.454,5.647,6.771,7.407,5.7379999999999995,3.4789999999999996,5.745,6.414,5.035,6.167000000000001,6.257999999999999,6.129,1.0390000000000001,5.957000000000001,6.961,7.185,6.939,7.486000000000001,6.09,2.641,7.711,9.422,5.997000000000001,9.382,6.235,7.675,9.369,8.118,8.424,11.196,12.432,8.079,15.285,12.879000000000001,10.817,14.014000000000001,12.462,11.258,10.852,10.802,12.286,12.503,11.753,10.945,11.605,11.970999999999998,14.032,11.489,12.182,12.64,12.520999999999999,11.618,8.351,7.742999999999999,14.52,13.659,12.302999999999999,11.927,7.787000000000001,14.234000000000002,14.23,12.182
01021,10.171,15.319,13.702,14.503,15.614,20.929000000000002,22.753,11.562999999999999,18.480999999999998,15.165,17.679000000000002,18.365,21.104,14.655999999999999,9.503,14.392000000000001,14.296,11.812999999999999,12.696,13.664000000000001,8.47,4.308,8.621,9.676,10.425,10.905999999999999,12.445,8.127,3.58,9.947000000000001,8.252,10.427,10.844000000000001,11.630999999999998,7.5489999999999995,2.552,7.882000000000001,7.0729999999999995,8.006,8.469,10.231,7.43,0.7909999999999999,9.558,8.599,10.146,10.457,12.690999999999999,8.96,2.615,9.308,12.144,8.142000000000001,12.332,8.816,5.8420000000000005,12.427,11.725999999999999,9.982999999999999,12.613,15.058,11.806,10.368,12.802999999999999,14.79,15.272,15.462,13.077,11.894,9.442,12.414000000000001,15.138,14.76,14.064,15.22,13.415999999999999,8.606,12.457,13.513,14.89,16.252,18.456,13.757,10.191,7.822,11.674000000000001,13.800999999999998,12.847000000000001,9.982000000000001,10.672,14.982999999999999,13.902000000000001
01023,12.433,26.281999999999996,19.185,11.56,18.094,22.976,15.439,11.919,24.331,16.494,19.492,23.874000000000002,22.355,18.195,11.072000000000001,16.194000000000003,18.464000000000002,16.057000000000002,17.113,16.438,11.067,4.787,13.043,15.232999999999999,15.15,12.532,12.357000000000001,10.955,4.1739999999999995,11.672,7.712999999999999,11.459000000000001,12.564,11.440999999999999,4.948,3.1860000000000004,12.462,7.615,9.154,9.1,13.014000000000001,9.06,0.522,12.061,10.954,13.103,14.065,14.339,12.081,2.238,13.595,13.77,7.39,13.854000000000001,9.01,8.035,14.11,13.664000000000001,13.145999999999999,15.245999999999999,16.396,13.472999999999999,10.238999999999999,12.97,18.986,23.715,15.902999999999999,20.47,13.610999999999999,10.36,13.587,16.117,14.658,20.313,17.184,13.775,8.102,15.422,14.128,19.084,21.401,19.24,13.934000000000001,11.056,9.979,11.61,13.852,18.132,10.482000000000001,8.279,14.689,16.541
01025,7.98,14.530999999999999,13.434000000000001,11.753,13.465,18.58,15.552,8.482000000000001,13.28,13.614,15.036,16.347,16.127,11.502,9.057,13.068,8.474,10.668,10.017999999999999,13.454,7.388999999999999,3.438,7.364,7.55,8.814,7.456,10.519,7.1339999999999995,4.545,9.391,5.431,6.847,7.801,9.151,4.6080000000000005,1.8230000000000002,6.357,5.1579999999999995,5.877999999999999,6.643,8.014,5.225,0.795,6.482,8.046,6.934,7.692,9.232000000000001,7.696000000000001,1.86,7.605,8.871,4.123,10.418,7.096,4.854,7.784,9.783999999999999,6.855,11.979000000000001,15.262,10.385,7.625,10.452,10.625,12.689,12.356,12.435,10.454,8.427999999999999,10.542,13.056,10.445,11.18,12.289000000000001,10.92,7.442,9.302999999999999,11.222000000000001,11.754000000000001,13.003,14.168,9.299,9.185,7.712000000000001,11.523,11.354000000000001,12.014000000000001,8.524,6.5120000000000005,11.529000000000002,10.312000000000001
01027,11.809000000000001,19.827,20.585,17.952,17.778,24.465,23.261,10.55,18.894000000000002,16.803,12.91,22.359,25.871,16.689,11.617,15.706,14.658,13.251,13.966,13.487,6.632000000000001,5.917999999999999,9.782,10.064,14.704,14.38,10.363,8.531,5.751,11.48,11.286,9.929,12.853,15.362,5.162000000000001,2.487,8.312999999999999,8.135,12.689,10.498,7.814,8.404,0.7979999999999999,13.132,9.962,11.228,11.217,12.981,9.357999999999999,0.433,10.54,13.87,10.337,10.26,8.99,7.218,13.27,11.112,11.737,12.155999999999999,13.77,11.475999999999999,10.998,9.829,13.423,16.486,14.530999999999999,14.556,13.200999999999999,10.502,12.795,12.612,11.26,11.163,14.527000000000001,12.969000000000001,9.35,11.14,10.696,12.458,14.232000000000001,16.208,13.83,9.54,11.272,13.014000000000001,12.187000000000001,11.120999999999999,9.382,7.92,12.964,13.825999999999999
01029,16.317,22.8,21.396,22.644000000000002,21.719,22.826,21.951,16.605999999999998,21.383000000000003,20.526999999999997,20.67,22.621,21.166,17.774,15.2,18.86,16.79,17.185,19.108,14.591,11.138,7.1579999999999995,17.178,13.15,10.515,14.409,18.418,10.31,7.608,14.800999999999998,14.293,18.555999999999997,11.162,15.967,6.796,2.18,10.270999999999999,9.481,12.655,12.02,15.557,13.05,1.9769999999999999,14.568,13.112,15.562000000000001,17.233,17.651,14.82,1.5330000000000001,19.098,18.644000000000002,16.926,19.160999999999998,15.154000000000002,10.564,19.016,18.383,18.692,20.028,20.906,18.267,15.72,15.540999999999999,19.278,19.726,19.678,19.926,18.435,16.929000000000002,15.296,19.352,18.686,20.402,20.33,18.132,12.76,20.098,19.578,19.820999999999998,21.37,22.129,19.56,16.358,14.487,19.701,20.764,21.205,20.43,13.171,21.24,17.796
01031,7.312,9.521,10.071,8.322000000000001,9.246,10.994000000000002,9.345,6.013,9.351,10.294,9.888,9.612,12.043,8.141,6.115,8.42,7.9639999999999995,7.528,8.042,7.297000000000001,4.157,3.2739999999999996,6.028,6.029,7.016,6.752000000000001,7.553999999999999,4.206,2.6210000000000004,5.265,4.913,6.046,7.6610000000000005,7.013999999999999,3.819,0.938,4.623,4.805,5.007,5.471,5.132000000000001,4.181,0.6759999999999999,4.15,5.359,5.422000000000001,5.9910000000000005,5.4639999999999995,4.421,0.494,7.055,6.566,3.3139999999999996,7.501,4.659,3.426,6.82,7.327999999999999,5.593999999999999,7.894,9.726,6.954,4.79,6.989,7.607,9.465,7.581,9.152999999999999,6.694,5.221,7.678,9.368,7.841,7.507999999999999,9.495,8.033999999999999,4.718,7.07,8.607999999999999,8.748,8.836,11.138,7.474,5.803,4.49,7.693,9.101,8.74,5.824,4.418,8.914,7.876
01033,7.12,8.144,8.798,8.441,9.062999999999999,10.657,10.469000000000001,7.44,8.544,8.894,8.61,9.117,9.759,8.448,5.957000000000001,7.385,6.945,6.91,6.852,6.865,4.782,2.926,4.827,4.239,5.517,5.877999999999999,6.484,4.513,3.1010000000000004,5.087,3.9410000000000003,5.51,5.767,6.308,4.508,1.689,4.124,3.9760000000000004,4.496,4.534,4.984,4.857,0.08900000000000001,4.445,4.705,5.702999999999999,5.666,7.2139999999999995,5.147,2.113,5.6339999999999995,5.99,5.608,6.726,4.202,3.761,6.255,6.218,5.56,7.361000000000001,8.812000000000001,7.775,6.702999999999999,7.595,7.832000000000001,8.259,8.467,7.627999999999999,8.04,6.039,7.928,8.016,6.445,6.812,8.22,8.008,5.726,7.117999999999999,6.886,8.279,8.996,9.186,8.324,7.79,6.084,7.672000000000001,7.722,8.222999999999999,6.146,6.35,8.676,7.94
01035,20.677,19.332,19.756,15.915999999999999,16.777,23.49,27.368000000000002,12.272,13.568,11.968,20.713,22.884,31.58,21.881999999999998,20.324,16.081,22.934,18.944000000000003,21.884,14.659,12.775,11.759,17.273,15.767000000000001,19.438,27.686999999999998,26.854,17.57,13.097999999999999,5.617999999999999,14.142000000000001,15.8,17.604,13.630999999999998,13.6,4.27,11.737,11.138,10.664000000000001,15.664000000000001,14.341,5.729,1.59,11.731,10.950999999999999,13.786,13.92,8.342,4.6160000000000005,4.956,15.967,19.427,7.224,19.535,7.602,7.178,13.380999999999998,21.644000000000002,17.24,20.362000000000002,19.525,16.73,11.07,14.738,14.002,16.485,19.758,21.956999999999997,18.7,8.381,14.574000000000002,20.875,16.241,18.012999999999998,18.778,19.511,11.227,11.878,17.338,16.594,19.801,25.206,24.248,11.870999999999999,18.875999999999998,16.926,17.977999999999998,19.155,21.930999999999997,37.022,20.429000000000002,20.335
01037,11.623,14.209000000000001,14.770999999999999,14.355,14.99,18.468,17.552,13.681,14.388,16.642,17.535,16.498,15.665999999999999,15.085999999999999,11.890999999999998,17.246,13.298,11.494000000000002,13.882,13.786,9.478,9.836,11.883,9.046,12.034,11.828,13.355,8.004,6.778,10.32,8.3,10.722999999999999,9.092,12.452,10.32,5.7860000000000005,10.13,9.872,10.748,10.259,11.95,9.905,0.912,11.567,12.494000000000002,9.224,11.142000000000001,13.13,12.815999999999999,4.23,13.825999999999999,13.508,9.101,12.675999999999998,9.906,6.513999999999999,10.007,12.075,13.780999999999999,14.3,16.929000000000002,14.600999999999999,11.474,14.784,16.886,17.722,15.491,16.835,14.165,11.895,15.314,17.136,14.825999999999999,15.635,16.855,14.091,13.135,13.614,14.392999999999999,16.326,17.831,17.088,14.434000000000001,12.192,11.279000000000002,14.914000000000001,14.943,17.775,13.58,13.026,17.663,15.462
