FIPS,3/1/2020,3/2/2020,3/3/2020,3/4/2020,3/5/2020,3/6/2020,3/7/2020,3/8/2020,3/9/2020,3/10/2020,3/11/2020,3/12/2020,3/13/2020,3/14/2020,3/15/2020,3/16/2020,3/17/2020,3/18/2020,3/19/2020,3/20/2020,3/21/2020,3/22/2020,3/23/2020,3/24/2020,3/25/2020,3/26/2020,3/27/2020,3/28/2020,3/29/2020,3/30/2020,3/31/2020,4/1/2020,4/2/2020,4/3/2020,4/4/2020,4/5/2020,4/6/2020,4/7/2020,4/8/2020,4/9/2020,4/10/2020,4/11/2020,4/12/2020,4/13/2020,4/14/2020,4/15/2020,4/16/2020,4/17/2020,4/18/2020,4/19/2020,4/21/2020,4/22/2020,4/23/2020,4/24/2020,4/25/2020,4/26/2020,4/27/2020,4/28/2020,4/29/2020,4/30/2020,5/1/2020,5/2/2020,5/3/2020,5/4/2020,5/5/2020,5/6/2020,5/7/2020,5/8/2020,5/9/2020,5/10/2020,5/11/2020,5/12/2020,5/13/2020,5/14/2020,5/15/2020,5/16/2020,5/17/2020,5/18/2020,5/19/2020,5/20/2020,5/21/2020,5/22/2020,5/23/2020,5/24/2020,5/25/2020,5/26/2020,5/27/2020,5/28/2020,5/30/2020,5/31/2020,6/1/2020,6/2/2020
17031,4.354,5.981,5.934,6.051,6.236000000000001,6.55,5.524,4.273,5.417999999999999,5.858,5.837999999999999,5.818,5.755,3.4539999999999997,2.065,3.551,2.214,1.3130000000000002,1.281,2.0180000000000002,0.08900000000000001,0.027999999999999997,0.054000000000000006,0.092,0.33899999999999997,0.053,0.126,0.037000000000000005,0.028999999999999998,0.052000000000000005,0.048,0.098,0.19,0.42700000000000005,0.043,0.034,0.057999999999999996,0.244,0.057999999999999996,0.051,0.32,0.069,0.032,0.046,0.045,0.044000000000000004,0.08900000000000001,0.075,0.161,0.042,0.449,0.385,0.498,0.602,0.047,0.06,0.311,0.539,0.098,0.614,1.882,1.4040000000000001,0.467,0.179,0.168,1.012,0.529,0.716,0.629,0.042,0.057,0.496,0.212,0.043,1.411,1.182,0.033,0.809,0.444,1.761,2.056,2.779,1.199,1.237,0.498,1.9909999999999999,2.029,1.7269999999999999,1.8730000000000002,0.298,1.263,1.516
17115,4.686,6.077000000000001,6.317,6.127999999999999,6.4270000000000005,7.314,6.787999999999999,4.57,5.922000000000001,6.22,6.489,6.445,6.87,4.534,3.148,5.483,4.414,3.452,3.925,4.7139999999999995,1.722,0.047,1.979,1.7530000000000001,2.9360000000000004,2.504,2.7539999999999996,0.513,0.159,2.42,2.396,3.028,2.93,3.4019999999999997,1.0,0.7290000000000001,2.097,3.193,2.112,2.3080000000000003,3.346,1.87,0.062,2.426,2.033,2.66,2.69,3.6060000000000003,2.3569999999999998,0.956,3.255,3.5869999999999997,3.155,3.1260000000000003,1.163,1.288,3.342,3.4339999999999997,2.888,4.042,4.906000000000001,3.986,2.2840000000000003,3.64,3.73,4.49,4.199,4.413,3.969,2.168,3.4139999999999997,4.002,3.365,3.2769999999999997,3.9610000000000003,3.647,1.881,3.89,3.78,4.5889999999999995,4.973,5.8260000000000005,4.363,3.819,2.61,4.59,4.92,4.561,3.594,3.2460000000000004,3.927,4.039
17197,6.422000000000001,9.834,10.169,10.096,10.606,11.186,9.437000000000001,6.486000000000001,9.01,9.889,9.874,9.703,9.454,5.732,3.53,6.814,4.755,3.531,3.359,4.78,1.227,0.036000000000000004,0.573,0.956,1.7180000000000002,0.9259999999999999,1.59,0.106,0.040999999999999995,0.927,0.956,1.3259999999999998,1.703,2.065,0.433,0.14400000000000002,1.092,1.557,1.4140000000000001,1.261,2.622,1.2919999999999998,0.05,0.996,1.109,1.1079999999999999,1.9409999999999998,1.642,1.6869999999999998,0.51,2.678,3.097,3.2060000000000004,3.3539999999999996,0.879,0.9059999999999999,2.55,2.89,2.222,2.8560000000000003,4.396,3.0239999999999996,1.834,2.263,2.353,4.173,3.258,3.5460000000000003,3.103,1.0270000000000001,1.8319999999999999,3.29,2.542,1.178,3.6860000000000004,3.2039999999999997,0.057,3.055,2.73,4.538,4.8180000000000005,5.557,2.742,3.0260000000000002,1.484,4.3260000000000005,4.784,4.408,4.423,2.0,3.93,4.738
17143,5.3420000000000005,6.409,6.502999999999999,6.608,6.542999999999999,7.585,5.725,4.498,5.959,6.4,6.562,6.702999999999999,7.404,4.398,2.67,5.075,4.283,2.989,3.344,4.126,0.8959999999999999,0.034,0.6940000000000001,1.034,1.288,0.782,1.636,0.055999999999999994,0.051,1.3840000000000001,1.006,1.776,1.483,2.188,0.42200000000000004,0.14400000000000002,1.157,2.031,1.382,1.2209999999999999,2.5780000000000003,0.995,0.055999999999999994,0.9329999999999999,1.062,1.137,1.7480000000000002,1.626,1.306,0.276,2.375,2.6889999999999996,2.6519999999999997,2.263,0.141,0.865,2.648,2.62,1.5719999999999998,3.713,4.928999999999999,3.5260000000000002,2.064,3.014,2.66,4.516,3.911,4.013999999999999,3.444,1.145,2.08,3.641,2.346,2.204,4.019,3.2880000000000003,0.711,3.6239999999999997,3.426,4.618,5.233,5.95,3.915,3.238,1.6740000000000002,4.284,4.745,4.305,3.412,2.677,3.949,3.471
17089,5.379,8.17,8.22,8.257,8.642999999999999,9.115,7.582000000000001,5.471,7.468,8.113999999999999,8.437000000000001,7.893,7.851,4.765,2.883,5.351,4.045,2.845,2.67,3.955,0.48700000000000004,0.035,0.254,0.494,1.1059999999999999,0.528,0.9209999999999999,0.057999999999999996,0.037000000000000005,0.46299999999999997,0.33799999999999997,0.635,0.9940000000000001,1.446,0.159,0.061,0.36,0.925,0.507,0.42700000000000005,1.681,0.7040000000000001,0.042,0.42200000000000004,0.43799999999999994,0.405,0.932,1.131,0.9940000000000001,0.35700000000000004,1.6269999999999998,1.474,1.906,2.134,0.28800000000000003,0.579,1.166,1.66,0.9109999999999999,1.745,3.388,2.542,1.484,1.4880000000000002,1.531,3.062,1.9709999999999999,2.6910000000000003,2.633,0.34,0.611,2.396,1.265,0.27899999999999997,2.8110000000000004,2.484,0.047,1.96,1.7269999999999999,3.2319999999999998,3.72,4.442,2.22,2.3930000000000002,0.7979999999999999,3.5189999999999997,3.6639999999999997,3.178,3.387,2.457,3.6710000000000003,4.05
17043,5.297999999999999,7.1979999999999995,7.415,7.318,7.678,8.111,6.632999999999999,5.062,6.691,7.119,7.303999999999999,7.079,6.6979999999999995,3.915,2.457,4.166,2.909,1.9380000000000002,1.814,2.9360000000000004,0.397,0.033,0.083,0.298,0.631,0.128,0.38,0.048,0.034,0.254,0.126,0.433,0.6459999999999999,0.8959999999999999,0.084,0.051,0.27699999999999997,0.504,0.316,0.222,0.904,0.49,0.04,0.091,0.11699999999999999,0.07400000000000001,0.486,0.47100000000000003,0.652,0.10800000000000001,0.9890000000000001,0.915,1.22,1.34,0.11199999999999999,0.303,0.807,0.9490000000000001,0.42700000000000005,1.0190000000000001,2.5140000000000002,1.814,1.111,0.612,0.489,1.994,1.115,1.393,1.501,0.057,0.198,1.203,0.607,0.06,1.92,1.77,0.042,1.3769999999999998,1.021,2.358,2.775,3.295,1.569,1.883,0.6609999999999999,2.414,2.827,2.301,2.596,1.652,2.674,2.8510000000000004
17201,4.76,6.438,6.521,6.73,6.733,7.303,6.401,5.0169999999999995,6.195,6.272,6.395,6.694,7.132999999999999,4.99,3.11,5.2860000000000005,4.548,3.552,3.532,4.335,0.779,0.037000000000000005,0.784,1.306,1.963,1.426,2.114,0.073,0.044000000000000004,1.446,1.158,2.174,1.965,2.471,0.5379999999999999,0.106,1.375,1.7180000000000002,1.528,1.6369999999999998,2.5,0.639,0.053,1.214,1.4609999999999999,2.024,2.326,2.705,1.4909999999999999,0.364,2.378,2.595,2.585,2.886,0.753,0.551,2.3,2.456,2.052,3.68,4.534,3.36,2.295,2.99,3.031,3.998,3.835,3.81,3.162,0.754,2.2119999999999997,3.53,2.044,1.618,3.964,3.215,0.099,3.133,2.8,4.284,4.702,5.3,2.628,3.286,1.5190000000000001,4.356,4.393,3.719,3.241,2.6639999999999997,4.447,4.52
17093,6.79,9.925,10.895999999999999,9.869,10.22,10.79,8.987,6.8660000000000005,8.78,9.68,10.309000000000001,9.594,9.161,5.196000000000001,3.4810000000000003,6.805,4.686,3.1439999999999997,3.181,4.126,1.227,0.036000000000000004,0.41700000000000004,0.6970000000000001,0.96,0.371,0.93,0.057,0.038,0.687,0.619,0.889,1.1340000000000001,1.551,0.389,0.315,0.792,1.092,0.782,0.9570000000000001,1.8659999999999999,1.138,0.046,0.986,0.66,0.915,1.425,1.486,1.291,0.555,2.287,2.012,2.63,2.613,0.802,1.124,1.614,2.5140000000000002,1.8659999999999999,1.913,3.698,2.782,1.7719999999999998,1.649,1.66,3.5639999999999996,2.165,3.1660000000000004,3.3289999999999997,1.291,0.585,2.483,1.837,0.322,2.969,2.858,0.049,1.8619999999999999,1.8719999999999999,3.875,3.911,5.034,2.474,2.408,1.125,3.5210000000000004,3.8280000000000003,3.73,4.007,2.7739999999999996,3.58,4.032
01073,7.8660000000000005,9.433,9.951,9.697000000000001,10.07,11.855,10.639000000000001,8.125,10.021,10.026,10.005,10.589,11.042,8.355,5.164,8.311,6.892,6.0489999999999995,6.415,6.813,3.971,1.724,3.2539999999999996,4.082,4.46,4.66,4.993,3.335,1.922,3.767,3.225,4.546,4.677,5.2379999999999995,3.595,0.623,3.27,2.991,3.292,4.034,5.193,3.9139999999999997,0.045,4.102,4.442,4.838,5.231,6.017,4.391,0.067,5.3260000000000005,4.994,4.192,6.205,4.703,2.594,5.254,5.5360000000000005,4.8919999999999995,6.667000000000001,8.802,6.388,4.779,6.255,6.858,8.61,7.25,6.938,6.837999999999999,5.534,6.332000000000001,7.303999999999999,6.553999999999999,6.522,8.224,7.216,4.053999999999999,6.656000000000001,7.0489999999999995,7.782,8.566,9.683,7.547999999999999,5.919,5.117,7.516,7.638,8.291,5.565,5.622000000000001,8.172,7.495
26161,4.7010000000000005,7.306,7.827999999999999,7.428,8.236,8.716000000000001,6.6770000000000005,4.691,6.605,6.609,6.611000000000001,6.497999999999999,6.638999999999999,3.032,1.771,4.03,2.371,1.6119999999999999,1.7380000000000002,2.5140000000000002,0.07400000000000001,0.044000000000000004,0.568,0.037000000000000005,0.084,0.042,0.047,0.031,0.032,0.036000000000000004,0.04,0.042,0.07400000000000001,0.19,0.042,0.038,0.039,0.04,0.05,0.035,0.04,0.04,0.027000000000000003,0.03,0.034,0.032,0.036000000000000004,0.032,0.036000000000000004,0.032,0.045,0.046,0.05,0.22,0.046,0.043,0.192,0.344,0.068,0.129,1.9140000000000001,0.899,0.5920000000000001,0.239,0.13,0.79,0.161,0.39,0.071,0.051,0.046,0.6509999999999999,0.125,0.038,0.765,1.319,0.05,0.10300000000000001,0.46,2.226,3.198,3.089,1.835,1.235,0.516,2.492,2.678,1.786,2.577,1.04,3.281,2.9610000000000003
