,FIPS,1/22/20,1/23/20,1/24/20,1/25/20,1/26/20,1/27/20,1/28/20,1/29/20,1/30/20,1/31/20,2/1/20,2/2/20,2/3/20,2/4/20,2/5/20,2/6/20,2/7/20,2/8/20,2/9/20,2/10/20,2/11/20,2/12/20,2/13/20,2/14/20,2/15/20,2/16/20,2/17/20,2/18/20,2/19/20,2/20/20,2/21/20,2/22/20,2/23/20,2/24/20,2/25/20,2/26/20,2/27/20,2/28/20,2/29/20,3/1/20,3/2/20,3/3/20,3/4/20,3/5/20,3/6/20,3/7/20,3/8/20,3/9/20,3/10/20,3/11/20,3/12/20,3/13/20,3/14/20,3/15/20,3/16/20,3/17/20,3/18/20,3/19/20,3/20/20,3/21/20,3/22/20,3/23/20,3/24/20,3/25/20,3/26/20,3/27/20,3/28/20,3/29/20,3/30/20,3/31/20,4/1/20,4/2/20,4/3/20,4/4/20,4/5/20,4/6/20,4/7/20,4/8/20,4/9/20,4/10/20,4/11/20,4/12/20,4/13/20,4/14/20,4/15/20,4/16/20,4/17/20,4/18/20,4/19/20,4/20/20,4/21/20,4/22/20,4/23/20,4/24/20,4/25/20,4/26/20,4/27/20,4/28/20,4/29/20,4/30/20,5/1/20,5/2/20,5/3/20,5/4/20,5/5/20,5/6/20,5/7/20,5/8/20,5/9/20,5/10/20,5/11/20,5/12/20,5/13/20,5/14/20,5/15/20,5/16/20,5/17/20,5/18/20,5/19/20,5/20/20,5/21/20,5/22/20,5/23/20,5/24/20,5/25/20
0,17031,0,0,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,4,4,4,5,5,6,7,7,11,22,27,40,50,50,62,107,178,278,278,548,805,922,1194,1418,1418,2239,2613,3445,3727,4496,5152,5575,6111,7439,8034,8728,9509,10520,11415,12472,13417,14585,15474,16323,17306,18087,19391,20395,21272,22101,23181,24546,25811,27616,29058,30574,31953,33449,34880,36513,38668,40227,42324,43715,45223,46689,48341,50236,51674,52655,53381,55470,56406,58457,59905,61212,62218,63690,64691,66213,67551,68949,70417,72010,73097
1,17115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,2,2,2,5,6,9,12,13,15,14,23,35,42,45,44,47,47,55,54,55,60,93,96,99,100,102,103,103,105,106,109,119,122,124,126,129,133,138,140,144,146,149,151,154,159,163,165,169,170,176,182,184,187,187,188
2,17197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,9,9,12,21,24,28,40,40,104,127,182,223,228,322,384,455,582,648,697,840,914,1010,1077,1126,1228,1283,1350,1433,1494,1566,1603,1643,1692,1736,1820,1885,2009,2060,2126,2173,2254,2369,2492,2617,2796,2868,3066,3150,3332,3434,3561,3636,3684,3740,3896,3973,4090,4277,4312,4388,4455,4560,4694,4797,4929,5012,5117,5188
3,17143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,3,3,3,3,3,3,4,4,6,7,8,8,8,10,11,11,11,14,12,13,16,15,20,23,27,31,31,33,34,34,37,39,43,44,46,54,56,60,65,68,78,85,86,93,101,106,107,113,126,130,132,136,139,141,143,148,151,156,155,159,160,162,167,168,176,176,177,179
4,17089,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,3,3,4,3,4,6,6,8,13,18,24,38,38,75,90,100,113,128,142,154,176,207,220,234,255,296,318,339,376,403,421,448,463,490,538,582,605,638,684,764,863,962,1049,1109,1185,1308,1412,1526,1677,1803,1935,2115,2206,2331,2498,2668,2818,3003,3126,3592,3744,3995,4159,4263,4396,4584,4682,4813,4981,5327,5484,5645,5761
5,17043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,26,45,54,54,65,79,95,103,131,131,199,202,274,320,356,392,448,500,590,656,715,795,875,943,1008,1048,1162,1223,1312,1386,1463,1560,1642,1695,1761,1864,1947,2047,2219,2311,2443,2628,2736,2870,3081,3256,3432,3611,3803,3918,4056,4213,4374,4493,4603,4745,5121,5244,5453,5634,5780,5904,6076,6171,6308,6471,6744,6891,7060,7207
6,17201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,4,4,5,5,7,7,8,9,12,13,15,18,24,28,36,42,49,59,63,66,77,80,94,99,101,112,121,145,172,178,195,207,238,252,279,302,318,343,365,392,442,485,521,579,638,649,696,759,830,877,917,932,1159,1208,1337,1390,1436,1490,1537,1564,1615,1681,1780,1838,1925,1953
7,17093,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,2,4,4,4,6,6,8,11,15,18,19,27,36,37,47,49,55,61,79,86,92,103,105,114,114,116,119,123,135,135,138,146,157,171,191,203,208,218,235,255,266,281,291,305,326,334,346,363,373,388,421,431,477,496,518,531,543,563,579,592,610,627,673,689,709,714
8,01073,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5,17,21,25,34,50,61,71,86,91,129,159,177,195,245,254,270,292,314,351,373,416,423,457,479,507,536,579,597,612,620,625,634,651,671,682,688,698,726,778,797,797,839,839,861,880,886,929,946,969,992,1020,1048,1065,1094,1109,1121,1131,1153,1199,1237,1258,1299,1333,1355,1367,1433,1453,1498,1573,1614,1630
9,26161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,4,7,7,7,14,16,29,35,42,50,72,92,150,185,233,266,305,401,438,477,501,518,539,559,610,637,659,685,716,736,772,798,826,855,870,870,878,900,912,960,974,1002,1001,1004,1033,1049,1075,1091,1101,1113,1118,1123,1129,1140,1160,1176,1182,1192,1206,1210,1231,1236,1241,1242,1245,1251,1261,1265,1275,1282,1294,1298
