,FIPS,Province_State,Combined_Key,Lat,Long_,Population,METRO,pop500,CASTHMA,HIGHCHOL,DIABETES,OBESITY,CANCER,STROKE,MHLTH,CSMOKING,CHOLSCREEN,ACCESS2,CHD,CHECKUP,KIDNEY,BINGE,LPA,ARTHRITIS,BPMED,PHLTH,BPHIGH,COPD,nhosp,nhosp999,totalbeds,estbeds,persons_per_household,age65_%pop,black_%pop,hisp_%pop,welfare_receipts,poverty_%pop,pop_density_2010,hsgrad_%pop,median_income,percap_income,estbeds_per1000,svi_ses,svi_households,svi_minority,svi_housing_transport,svi_overall,gini_index
0,17031,Illinois,"Cook, Illinois, US",41.84144849,-87.81658794,5150233.0,"Chicago, Elgin, Palatine, Cicero, Evanston, Schaumburg, Arlington Heights",3095892,11.4,30.7,9.6,23.7,5.4,1.5,11.6,26.7,87.1,24.3,10.0,61.7,1.2,19.0,23.0,26.8,69.0,18.8,25.0,5.2,55.0,3.0,16621.0,17237.0,2.61,14.6,23.9,25.5,39639868.0,13.8,5495.1,86.7,62088.0,35575.0,3.0,0.5057,0.0946,0.9618,0.8758,0.6755,0.5105
1,17115,Illinois,"Macon, Illinois, US",39.86064913,-88.96342505,104009.0,Decatur,76122,10.4,36.3,11.4,37.4,7.4,3.7,14.5,21.0,81.9,12.1,7.5,70.1,3.4,17.1,27.8,29.5,76.8,14.1,37.0,8.7,2.0,1.0,188.0,393.0,2.33,20.0,17.5,2.3,886156.0,17.4,190.8,90.3,50444.0,28925.0,3.0,0.5344,0.7509999999999999,0.4164,0.6425,0.5971,0.4605
2,17197,Illinois,"Will, Illinois, US",41.44619267,-87.97862712,690743.0,"Joliet, Naperville, Bolingbrook, Aurora",268270,8.2,30.2,8.4,33.3,8.7,2.1,12.5,17.5,73.1,12.9,3.0,70.4,1.8,19.4,22.7,17.4,67.1,10.2,25.5,3.3,4.0,1.0,917.0,1122.0,2.98,13.1,12.1,17.8,2467555.0,6.4,809.6,90.9,83504.0,35259.0,1.0,0.1557,0.1417,0.8609,0.1465,0.2022,0.4087
3,17143,Illinois,"Peoria, Illinois, US",40.78702156,-89.76078901,179179.0,"Peoria, Cicero",282789,8.4,30.4,11.4,35.1,5.2,3.1,14.4,19.2,80.4,32.2,6.3,65.3,3.1,19.3,34.1,21.5,64.3,14.1,31.7,7.0,3.0,0.0,1072.0,1072.0,2.43,17.1,18.7,4.9,2664957.0,16.6,301.2,90.4,54770.0,30753.0,5.0,0.4959,0.4906,0.7287,0.6444,0.6131,0.494
4,17089,Illinois,"Kane, Illinois, US",41.93842729,-88.42861412,532403.0,"Elgin, Aurora",215132,9.2,30.3,10.9,34.0,5.0,2.8,14.6,19.8,78.6,22.5,5.2,65.0,2.9,19.6,28.1,20.7,68.1,13.2,28.8,6.5,5.0,0.0,1101.0,1101.0,2.95,13.7,6.0,32.2,2406944.0,8.6,990.8,84.1,76912.0,34924.0,2.0,0.3398,0.2286,0.9309,0.2958,0.4169,0.4484
5,17043,Illinois,"DuPage, Illinois, US",41.85116968,-88.08642662,922921.0,"Naperville, Aurora, Bolingbrook",145537,8.1,31.9,7.3,27.1,5.7,1.8,9.6,12.3,85.3,7.8,3.8,68.6,2.1,20.1,16.7,19.2,69.2,8.2,26.6,4.2,6.0,0.0,1752.0,1752.0,2.69,15.5,5.3,14.5,7846517.0,6.6,2799.8,92.6,88711.0,43982.0,1.0,0.0678,0.0379,0.8526,0.3079,0.1611,0.4541
6,17201,Illinois,"Winnebago, Illinois, US",42.33641854,-89.16085327,282572.0,Rockford,152871,10.0,35.1,11.6,35.0,6.3,3.7,15.2,22.4,80.1,15.8,7.0,68.5,3.4,18.1,31.4,25.7,73.2,15.1,36.3,8.8,3.0,0.0,857.0,857.0,2.46,17.5,13.6,13.1,2398937.0,16.1,575.2,87.7,52743.0,28250.0,3.0,0.6115,0.7119,0.7982,0.5539999999999999,0.7204,0.4547
7,17093,Illinois,"Kendall, Illinois, US",41.59081014,-88.42869583,128990.0,"Joliet, Aurora",15768,9.0,24.7,6.1,33.5,3.8,1.6,12.0,17.9,80.5,12.5,2.8,64.2,1.8,24.6,22.2,16.1,59.7,8.7,22.6,4.1,0.0,0.0,0.0,0.0,3.08,10.3,7.7,19.5,0.0,4.2,358.2,92.1,91764.0,34423.0,0.0,0.1118,0.2069,0.8239,0.0478,0.1398,0.3342
8,01073,Alabama,"Jefferson, Alabama, US",33.55554728,-86.89506300000002,658573.0,"Birmingham, Hoover",269191,13.6,20.2,7.3,31.6,4.1,1.9,24.1,10.9,74.4,20.6,3.1,80.1,2.1,18.4,47.5,38.3,79.0,8.8,21.9,13.0,11.0,1.0,4400.0,4570.0,2.47,15.9,43.5,4.0,7766161.0,16.1,592.5,89.7,51979.0,30657.0,6.0,0.5185,0.5833,0.8099,0.6211,0.6621,0.4952
9,26161,Michigan,"Washtenaw, Michigan, US",42.253105,-83.83853204,367601.0,Ann Arbor,113934,9.3,28.3,6.4,25.9,5.4,1.9,11.0,11.1,78.0,7.2,3.9,67.2,2.2,19.9,16.8,21.0,71.1,8.5,22.2,4.1,6.0,2.0,1683.0,2132.0,2.47,13.8,12.3,4.8,4710181.0,15.0,488.4,95.2,69434.0,39486.0,5.0,0.1694,0.0054,0.7402,0.7873,0.2236,0.4981
10,26163,Michigan,"Wayne, Michigan, US",42.28098405,-83.281255,1749343.0,"Detroit, Dearborn, Livonia, Westland",992966,14.9,32.8,9.1,25.0,5.1,8.7,17.0,31.6,77.2,6.4,10.8,69.6,2.7,12.6,20.4,34.5,70.2,20.3,34.7,12.5,17.0,1.0,5269.0,5493.0,2.57,15.4,38.8,6.1,12420402.0,21.7,2974.4,85.9,45321.0,25976.0,3.0,0.7936,0.7845,0.9019,0.6587,0.8723,0.49700000000000005
